income_regions,income_year,income_age_group,income_value
Waikato Region,2009,30 to 34,663
Waikato Region,2010,30 to 34,742
Waikato Region,2011,30 to 34,753
Waikato Region,2012,30 to 34,760
Waikato Region,2013,30 to 34,857
Waikato Region,2014,30 to 34,792
Waikato Region,2015,30 to 34,822
Waikato Region,2016,30 to 34,1001
Waikato Region,2017,30 to 34,912
Waikato Region,2018,30 to 34,942
Waikato Region,2019,30 to 34,966
Waikato Region,2020,30 to 34,1020
Bay of Plenty Region,1998,30 to 34,435
Bay of Plenty Region,1999,30 to 34,479
Bay of Plenty Region,2000,30 to 34,440
Bay of Plenty Region,2001,30 to 34,495
Bay of Plenty Region,2002,30 to 34,523
Bay of Plenty Region,2003,30 to 34,559
Bay of Plenty Region,2004,30 to 34,596
Bay of Plenty Region,2005,30 to 34,550
Bay of Plenty Region,2006,30 to 34,630
Bay of Plenty Region,2007,30 to 34,665
Bay of Plenty Region,2008,30 to 34,637
Bay of Plenty Region,2009,30 to 34,686
Bay of Plenty Region,2010,30 to 34,672
Bay of Plenty Region,2011,30 to 34,677
Bay of Plenty Region,2012,30 to 34,671
Bay of Plenty Region,2013,30 to 34,827
Bay of Plenty Region,2014,30 to 34,687
Bay of Plenty Region,2015,30 to 34,801
Bay of Plenty Region,2016,30 to 34,896
Bay of Plenty Region,2017,30 to 34,738
Bay of Plenty Region,2018,30 to 34,1091
Bay of Plenty Region,2019,30 to 34,981
Bay of Plenty Region,2020,30 to 34,930
Gisborne/Hawkes Bay Regions,1998,30 to 34,373
Gisborne/Hawkes Bay Regions,1999,30 to 34,422
Gisborne/Hawkes Bay Regions,2000,30 to 34,499
Gisborne/Hawkes Bay Regions,2001,30 to 34,504
Gisborne/Hawkes Bay Regions,2002,30 to 34,467
Gisborne/Hawkes Bay Regions,2003,30 to 34,565
Gisborne/Hawkes Bay Regions,2004,30 to 34,537
Gisborne/Hawkes Bay Regions,2005,30 to 34,567
Gisborne/Hawkes Bay Regions,2006,30 to 34,587
Gisborne/Hawkes Bay Regions,2007,30 to 34,641
Gisborne/Hawkes Bay Regions,2008,30 to 34,738
Gisborne/Hawkes Bay Regions,2009,30 to 34,631
Gisborne/Hawkes Bay Regions,2010,30 to 34,676
Gisborne/Hawkes Bay Regions,2011,30 to 34,784
Gisborne/Hawkes Bay Regions,2012,30 to 34,746
Gisborne/Hawkes Bay Regions,2013,30 to 34,787
Gisborne/Hawkes Bay Regions,2014,30 to 34,780
Gisborne/Hawkes Bay Regions,2015,30 to 34,842
Gisborne/Hawkes Bay Regions,2016,30 to 34,769
Gisborne/Hawkes Bay Regions,2017,30 to 34,958
Gisborne/Hawkes Bay Regions,2018,30 to 34,778
Gisborne/Hawkes Bay Regions,2019,30 to 34,908
Gisborne/Hawkes Bay Regions,2020,30 to 34,889
Taranaki Region,1998,30 to 34,374
Taranaki Region,1999,30 to 34,415
Taranaki Region,2000,30 to 34,482
Taranaki Region,2001,30 to 34,557
Taranaki Region,2002,30 to 34,565
Taranaki Region,2003,30 to 34,745
Taranaki Region,2004,30 to 34,600
Taranaki Region,2005,30 to 34,638
Taranaki Region,2006,30 to 34,645
Taranaki Region,2007,30 to 34,728
Taranaki Region,2008,30 to 34,685
Taranaki Region,2009,30 to 34,787
Taranaki Region,2010,30 to 34,801
Taranaki Region,2011,30 to 34,719
Taranaki Region,2012,30 to 34,833
Taranaki Region,2013,30 to 34,910
Taranaki Region,2014,30 to 34,853
Taranaki Region,2015,30 to 34,897
Taranaki Region,2016,30 to 34,849
Taranaki Region,2017,30 to 34,1033
Taranaki Region,2018,30 to 34,968
Taranaki Region,2019,30 to 34,1003
Taranaki Region,2020,30 to 34,956
Manawatu-Wanganui Region,1998,30 to 34,378
Manawatu-Wanganui Region,1999,30 to 34,434
Manawatu-Wanganui Region,2000,30 to 34,461
Manawatu-Wanganui Region,2001,30 to 34,439
Manawatu-Wanganui Region,2002,30 to 34,486
Manawatu-Wanganui Region,2003,30 to 34,466
Manawatu-Wanganui Region,2004,30 to 34,551
Manawatu-Wanganui Region,2005,30 to 34,479
Manawatu-Wanganui Region,2006,30 to 34,566
Manawatu-Wanganui Region,2007,30 to 34,613
Manawatu-Wanganui Region,2008,30 to 34,829
Manawatu-Wanganui Region,2009,30 to 34,786
Manawatu-Wanganui Region,2010,30 to 34,796
Manawatu-Wanganui Region,2011,30 to 34,793
Manawatu-Wanganui Region,2012,30 to 34,738
Manawatu-Wanganui Region,2013,30 to 34,704
Manawatu-Wanganui Region,2014,30 to 34,732
Manawatu-Wanganui Region,2015,30 to 34,661
Manawatu-Wanganui Region,2016,30 to 34,795
Manawatu-Wanganui Region,2017,30 to 34,801
Manawatu-Wanganui Region,2018,30 to 34,748
Manawatu-Wanganui Region,2019,30 to 34,846
Manawatu-Wanganui Region,2020,30 to 34,819
Wellington Region,1998,30 to 34,609
Wellington Region,1999,30 to 34,698
Wellington Region,2000,30 to 34,648
Wellington Region,2001,30 to 34,652
Wellington Region,2002,30 to 34,666
Wellington Region,2003,30 to 34,631
Wellington Region,2004,30 to 34,670
Wellington Region,2005,30 to 34,723
Wellington Region,2006,30 to 34,768
Wellington Region,2007,30 to 34,1032
Wellington Region,2008,30 to 34,1020
Wellington Region,2009,30 to 34,1022
Wellington Region,2010,30 to 34,891
Wellington Region,2011,30 to 34,887
Wellington Region,2012,30 to 34,961
Wellington Region,2013,30 to 34,986
Wellington Region,2014,30 to 34,1024
Wellington Region,2015,30 to 34,961
Wellington Region,2016,30 to 34,1183
Wellington Region,2017,30 to 34,1096
Wellington Region,2018,30 to 34,1140
Wellington Region,2019,30 to 34,1198
Wellington Region,2020,30 to 34,1205
Nelson/Tasman/Marlborough/West Coast Regions,1998,30 to 34,431
Nelson/Tasman/Marlborough/West Coast Regions,1999,30 to 34,424
Nelson/Tasman/Marlborough/West Coast Regions,2000,30 to 34,498
Nelson/Tasman/Marlborough/West Coast Regions,2001,30 to 34,498
Nelson/Tasman/Marlborough/West Coast Regions,2002,30 to 34,576
Nelson/Tasman/Marlborough/West Coast Regions,2003,30 to 34,497
Nelson/Tasman/Marlborough/West Coast Regions,2004,30 to 34,506
Nelson/Tasman/Marlborough/West Coast Regions,2005,30 to 34,686
Nelson/Tasman/Marlborough/West Coast Regions,2006,30 to 34,698
Nelson/Tasman/Marlborough/West Coast Regions,2007,30 to 34,701
Nelson/Tasman/Marlborough/West Coast Regions,2008,30 to 34,714
Nelson/Tasman/Marlborough/West Coast Regions,2009,30 to 34,748
Nelson/Tasman/Marlborough/West Coast Regions,2010,30 to 34,768
Nelson/Tasman/Marlborough/West Coast Regions,2011,30 to 34,830
Nelson/Tasman/Marlborough/West Coast Regions,2012,30 to 34,702
Nelson/Tasman/Marlborough/West Coast Regions,2013,30 to 34,746
Nelson/Tasman/Marlborough/West Coast Regions,2014,30 to 34,721
Nelson/Tasman/Marlborough/West Coast Regions,2015,30 to 34,764
Nelson/Tasman/Marlborough/West Coast Regions,2016,30 to 34,838
Nelson/Tasman/Marlborough/West Coast Regions,2017,30 to 34,733
Nelson/Tasman/Marlborough/West Coast Regions,2018,30 to 34,883
Nelson/Tasman/Marlborough/West Coast Regions,2019,30 to 34,1073
Nelson/Tasman/Marlborough/West Coast Regions,2020,30 to 34,960
Canterbury Region,1998,30 to 34,472
Canterbury Region,1999,30 to 34,522
Canterbury Region,2000,30 to 34,527
Canterbury Region,2001,30 to 34,579
Canterbury Region,2002,30 to 34,587
Canterbury Region,2003,30 to 34,526
Canterbury Region,2004,30 to 34,602
Canterbury Region,2005,30 to 34,672
Canterbury Region,2006,30 to 34,695
Canterbury Region,2007,30 to 34,840
Canterbury Region,2008,30 to 34,796
Canterbury Region,2009,30 to 34,734
Canterbury Region,2010,30 to 34,819
Canterbury Region,2011,30 to 34,734
Canterbury Region,2012,30 to 34,820
Canterbury Region,2013,30 to 34,877
Canterbury Region,2014,30 to 34,929
Canterbury Region,2015,30 to 34,976
Canterbury Region,2016,30 to 34,997
Canterbury Region,2017,30 to 34,945
Canterbury Region,2018,30 to 34,901
Canterbury Region,2019,30 to 34,936
Canterbury Region,2020,30 to 34,1060
Otago Region,1998,30 to 34,435
Otago Region,1999,30 to 34,454
Otago Region,2000,30 to 34,402
Otago Region,2001,30 to 34,492
Otago Region,2002,30 to 34,546
Otago Region,2003,30 to 34,584
Otago Region,2004,30 to 34,554
Otago Region,2005,30 to 34,627
Otago Region,2006,30 to 34,715
Otago Region,2007,30 to 34,728
Otago Region,2008,30 to 34,620
Otago Region,2009,30 to 34,734
Otago Region,2010,30 to 34,743
Otago Region,2011,30 to 34,743
Otago Region,2012,30 to 34,670
Otago Region,2013,30 to 34,741
Otago Region,2014,30 to 34,649
Otago Region,2015,30 to 34,764
Otago Region,2016,30 to 34,790
Otago Region,2017,30 to 34,948
Otago Region,2018,30 to 34,936
Otago Region,2019,30 to 34,942
Otago Region,2020,30 to 34,1054
Southland Region,1998,30 to 34,439
Southland Region,1999,30 to 34,459
Southland Region,2000,30 to 34,431
Southland Region,2001,30 to 34,591
Southland Region,2002,30 to 34,552
Southland Region,2003,30 to 34,670
Southland Region,2004,30 to 34,494
Southland Region,2005,30 to 34,617
Southland Region,2006,30 to 34,695
Southland Region,2007,30 to 34,683
Southland Region,2008,30 to 34,702
Southland Region,2009,30 to 34,770
Southland Region,2010,30 to 34,789
Southland Region,2011,30 to 34,827
Southland Region,2012,30 to 34,704
Southland Region,2013,30 to 34,801
Southland Region,2014,30 to 34,885
Southland Region,2015,30 to 34,948
Southland Region,2016,30 to 34,782
Southland Region,2017,30 to 34,710
Southland Region,2018,30 to 34,785
Southland Region,2019,30 to 34,711
Southland Region,2020,30 to 34,951
Northland Region,1998,35 to 39,417
Northland Region,1999,35 to 39,428
Northland Region,2000,35 to 39,461
Northland Region,2001,35 to 39,527
Northland Region,2002,35 to 39,548
Northland Region,2003,35 to 39,479
Northland Region,2004,35 to 39,476
Northland Region,2005,35 to 39,650
Northland Region,2006,35 to 39,660
Northland Region,2007,35 to 39,626
Northland Region,2008,35 to 39,616
Northland Region,2009,35 to 39,723
Northland Region,2010,35 to 39,777
Northland Region,2011,35 to 39,708
Northland Region,2012,35 to 39,696
Northland Region,2013,35 to 39,894
Northland Region,2014,35 to 39,841
Northland Region,2015,35 to 39,851
Northland Region,2016,35 to 39,892
Northland Region,2017,35 to 39,842
Northland Region,2018,35 to 39,859
Northland Region,2019,35 to 39,1142
Northland Region,2020,35 to 39,783
Auckland Region,1998,35 to 39,581
Auckland Region,1999,35 to 39,589
Auckland Region,2000,35 to 39,652
Auckland Region,2001,35 to 39,712
Auckland Region,2002,35 to 39,735
Auckland Region,2003,35 to 39,719
Auckland Region,2004,35 to 39,748
Auckland Region,2005,35 to 39,797
Auckland Region,2006,35 to 39,760
Auckland Region,2007,35 to 39,856
Auckland Region,2008,35 to 39,916
Auckland Region,2009,35 to 39,892
Auckland Region,2010,35 to 39,968
Auckland Region,2011,35 to 39,936
Auckland Region,2012,35 to 39,991
Auckland Region,2013,35 to 39,975
Auckland Region,2014,35 to 39,1115
Auckland Region,2015,35 to 39,1058
Auckland Region,2016,35 to 39,1110
Auckland Region,2017,35 to 39,1145
Auckland Region,2018,35 to 39,1207
Auckland Region,2019,35 to 39,1139
Auckland Region,2020,35 to 39,1130
Waikato Region,1998,35 to 39,524
Waikato Region,1999,35 to 39,464
Waikato Region,2000,35 to 39,497
Waikato Region,2001,35 to 39,550
Waikato Region,2002,35 to 39,606
Waikato Region,2003,35 to 39,629
Waikato Region,2004,35 to 39,629
Waikato Region,2005,35 to 39,632
Waikato Region,2006,35 to 39,645
Waikato Region,2007,35 to 39,773
Waikato Region,2008,35 to 39,776
Waikato Region,2009,35 to 39,852
Waikato Region,2010,35 to 39,765
Waikato Region,2011,35 to 39,847
Waikato Region,2012,35 to 39,834
Waikato Region,2013,35 to 39,800
Waikato Region,2014,35 to 39,970
Waikato Region,2015,35 to 39,944
Waikato Region,2016,35 to 39,1065
Waikato Region,2017,35 to 39,923
Waikato Region,2018,35 to 39,1012
Waikato Region,2019,35 to 39,1131
Waikato Region,2020,35 to 39,1099
Bay of Plenty Region,1998,35 to 39,513
Bay of Plenty Region,1999,35 to 39,520
Bay of Plenty Region,2000,35 to 39,501
Bay of Plenty Region,2001,35 to 39,560
Bay of Plenty Region,2002,35 to 39,570
Bay of Plenty Region,2003,35 to 39,663
Bay of Plenty Region,2004,35 to 39,587
Bay of Plenty Region,2005,35 to 39,637
Bay of Plenty Region,2006,35 to 39,657
Bay of Plenty Region,2007,35 to 39,716
Bay of Plenty Region,2008,35 to 39,704
Bay of Plenty Region,2009,35 to 39,761
Bay of Plenty Region,2010,35 to 39,769
Bay of Plenty Region,2011,35 to 39,765
Bay of Plenty Region,2012,35 to 39,763
Bay of Plenty Region,2013,35 to 39,748
Bay of Plenty Region,2014,35 to 39,898
Bay of Plenty Region,2015,35 to 39,962
Bay of Plenty Region,2016,35 to 39,827
Bay of Plenty Region,2017,35 to 39,996
Bay of Plenty Region,2018,35 to 39,898
Bay of Plenty Region,2019,35 to 39,951
Bay of Plenty Region,2020,35 to 39,1039
Gisborne/Hawkes Bay Regions,1998,35 to 39,463
Gisborne/Hawkes Bay Regions,1999,35 to 39,519
Gisborne/Hawkes Bay Regions,2000,35 to 39,530
Gisborne/Hawkes Bay Regions,2001,35 to 39,515
Gisborne/Hawkes Bay Regions,2002,35 to 39,596
Gisborne/Hawkes Bay Regions,2003,35 to 39,590
Gisborne/Hawkes Bay Regions,2004,35 to 39,630
Gisborne/Hawkes Bay Regions,2005,35 to 39,619
Gisborne/Hawkes Bay Regions,2006,35 to 39,781
Gisborne/Hawkes Bay Regions,2007,35 to 39,706
Gisborne/Hawkes Bay Regions,2008,35 to 39,736
Gisborne/Hawkes Bay Regions,2009,35 to 39,712
Gisborne/Hawkes Bay Regions,2010,35 to 39,724
Gisborne/Hawkes Bay Regions,2011,35 to 39,707
Gisborne/Hawkes Bay Regions,2012,35 to 39,766
Gisborne/Hawkes Bay Regions,2013,35 to 39,700
Gisborne/Hawkes Bay Regions,2014,35 to 39,716
Gisborne/Hawkes Bay Regions,2015,35 to 39,874
Gisborne/Hawkes Bay Regions,2016,35 to 39,1278
Gisborne/Hawkes Bay Regions,2017,35 to 39,887
Gisborne/Hawkes Bay Regions,2018,35 to 39,831
Gisborne/Hawkes Bay Regions,2019,35 to 39,1040
Gisborne/Hawkes Bay Regions,2020,35 to 39,833
Taranaki Region,1998,35 to 39,505
Taranaki Region,1999,35 to 39,467
Taranaki Region,2000,35 to 39,493
Taranaki Region,2001,35 to 39,542
Taranaki Region,2002,35 to 39,667
Taranaki Region,2003,35 to 39,591
Taranaki Region,2004,35 to 39,539
Taranaki Region,2005,35 to 39,591
Taranaki Region,2006,35 to 39,681
Taranaki Region,2007,35 to 39,753
Taranaki Region,2008,35 to 39,728
Taranaki Region,2009,35 to 39,779
Taranaki Region,2010,35 to 39,826
Taranaki Region,2011,35 to 39,766
Taranaki Region,2012,35 to 39,889
Taranaki Region,2013,35 to 39,832
Taranaki Region,2014,35 to 39,828
Taranaki Region,2015,35 to 39,1055
Taranaki Region,2016,35 to 39,961
Taranaki Region,2017,35 to 39,886
Taranaki Region,2018,35 to 39,1103
Taranaki Region,2019,35 to 39,1106
Taranaki Region,2020,35 to 39,1145
Manawatu-Wanganui Region,1998,35 to 39,437
Manawatu-Wanganui Region,1999,35 to 39,422
Manawatu-Wanganui Region,2000,35 to 39,468
Manawatu-Wanganui Region,2001,35 to 39,457
Manawatu-Wanganui Region,2002,35 to 39,557
Manawatu-Wanganui Region,2003,35 to 39,589
Manawatu-Wanganui Region,2004,35 to 39,663
Manawatu-Wanganui Region,2005,35 to 39,566
Manawatu-Wanganui Region,2006,35 to 39,585
Manawatu-Wanganui Region,2007,35 to 39,655
Manawatu-Wanganui Region,2008,35 to 39,678
Manawatu-Wanganui Region,2009,35 to 39,634
Manawatu-Wanganui Region,2010,35 to 39,745
Manawatu-Wanganui Region,2011,35 to 39,757
Manawatu-Wanganui Region,2012,35 to 39,806
Manawatu-Wanganui Region,2013,35 to 39,749
Manawatu-Wanganui Region,2014,35 to 39,720
Manawatu-Wanganui Region,2015,35 to 39,751
Manawatu-Wanganui Region,2016,35 to 39,814
Manawatu-Wanganui Region,2017,35 to 39,858
Manawatu-Wanganui Region,2018,35 to 39,928
Manawatu-Wanganui Region,2019,35 to 39,973
Manawatu-Wanganui Region,2020,35 to 39,1072
Wellington Region,1998,35 to 39,671
Wellington Region,1999,35 to 39,653
Wellington Region,2000,35 to 39,640
Wellington Region,2001,35 to 39,648
Wellington Region,2002,35 to 39,756
Wellington Region,2003,35 to 39,762
Wellington Region,2004,35 to 39,740
Wellington Region,2005,35 to 39,748
Wellington Region,2006,35 to 39,837
Wellington Region,2007,35 to 39,992
Wellington Region,2008,35 to 39,990
Wellington Region,2009,35 to 39,1145
Wellington Region,2010,35 to 39,1033
Wellington Region,2011,35 to 39,1001
Wellington Region,2012,35 to 39,1038
Wellington Region,2013,35 to 39,1082
Wellington Region,2014,35 to 39,1112
Wellington Region,2015,35 to 39,1130
Wellington Region,2016,35 to 39,1161
Wellington Region,2017,35 to 39,1315
Wellington Region,2018,35 to 39,1348
Wellington Region,2019,35 to 39,1375
Wellington Region,2020,35 to 39,1222
Nelson/Tasman/Marlborough/West Coast Regions,1998,35 to 39,403
Nelson/Tasman/Marlborough/West Coast Regions,1999,35 to 39,557
Nelson/Tasman/Marlborough/West Coast Regions,2000,35 to 39,524
Nelson/Tasman/Marlborough/West Coast Regions,2001,35 to 39,541
Nelson/Tasman/Marlborough/West Coast Regions,2002,35 to 39,566
Nelson/Tasman/Marlborough/West Coast Regions,2003,35 to 39,535
Nelson/Tasman/Marlborough/West Coast Regions,2004,35 to 39,588
Nelson/Tasman/Marlborough/West Coast Regions,2005,35 to 39,612
Nelson/Tasman/Marlborough/West Coast Regions,2006,35 to 39,706
Nelson/Tasman/Marlborough/West Coast Regions,2007,35 to 39,708
Nelson/Tasman/Marlborough/West Coast Regions,2008,35 to 39,752
Nelson/Tasman/Marlborough/West Coast Regions,2009,35 to 39,737
Nelson/Tasman/Marlborough/West Coast Regions,2010,35 to 39,704
Nelson/Tasman/Marlborough/West Coast Regions,2011,35 to 39,792
Nelson/Tasman/Marlborough/West Coast Regions,2012,35 to 39,780
Nelson/Tasman/Marlborough/West Coast Regions,2013,35 to 39,839
Nelson/Tasman/Marlborough/West Coast Regions,2014,35 to 39,890
Nelson/Tasman/Marlborough/West Coast Regions,2015,35 to 39,838
Nelson/Tasman/Marlborough/West Coast Regions,2016,35 to 39,946
Nelson/Tasman/Marlborough/West Coast Regions,2017,35 to 39,1009
Nelson/Tasman/Marlborough/West Coast Regions,2018,35 to 39,893
Nelson/Tasman/Marlborough/West Coast Regions,2019,35 to 39,926
Nelson/Tasman/Marlborough/West Coast Regions,2020,35 to 39,1052
Canterbury Region,1998,35 to 39,465
Canterbury Region,1999,35 to 39,534
Canterbury Region,2000,35 to 39,534
Canterbury Region,2001,35 to 39,517
Canterbury Region,2002,35 to 39,556
Canterbury Region,2003,35 to 39,650
Canterbury Region,2004,35 to 39,640
Canterbury Region,2005,35 to 39,701
Canterbury Region,2006,35 to 39,904
Canterbury Region,2007,35 to 39,810
Canterbury Region,2008,35 to 39,844
Canterbury Region,2009,35 to 39,782
Canterbury Region,2010,35 to 39,808
Canterbury Region,2011,35 to 39,851
Canterbury Region,2012,35 to 39,876
Canterbury Region,2013,35 to 39,906
Canterbury Region,2014,35 to 39,994
Canterbury Region,2015,35 to 39,1013
Canterbury Region,2016,35 to 39,906
Canterbury Region,2017,35 to 39,917
Canterbury Region,2018,35 to 39,993
Canterbury Region,2019,35 to 39,1131
Canterbury Region,2020,35 to 39,1048
Otago Region,1998,35 to 39,522
Otago Region,1999,35 to 39,578
Otago Region,2000,35 to 39,543
Otago Region,2001,35 to 39,600
Otago Region,2002,35 to 39,592
Otago Region,2003,35 to 39,510
Otago Region,2004,35 to 39,623
Otago Region,2005,35 to 39,822
Otago Region,2006,35 to 39,749
Otago Region,2007,35 to 39,675
Otago Region,2008,35 to 39,728
Otago Region,2009,35 to 39,866
Otago Region,2010,35 to 39,788
Otago Region,2011,35 to 39,834
Otago Region,2012,35 to 39,845
Otago Region,2013,35 to 39,847
Otago Region,2014,35 to 39,886
Otago Region,2015,35 to 39,1037
Otago Region,2016,35 to 39,879
Otago Region,2017,35 to 39,993
Otago Region,2018,35 to 39,1055
Otago Region,2019,35 to 39,1016
Otago Region,2020,35 to 39,956
Southland Region,1998,35 to 39,485
Southland Region,1999,35 to 39,506
Southland Region,2000,35 to 39,520
Southland Region,2001,35 to 39,565
Southland Region,2002,35 to 39,591
Southland Region,2003,35 to 39,674
Southland Region,2004,35 to 39,658
Southland Region,2005,35 to 39,566
Southland Region,2006,35 to 39,618
Southland Region,2007,35 to 39,794
Southland Region,2008,35 to 39,659
Southland Region,2009,35 to 39,702
Southland Region,2010,35 to 39,862
Southland Region,2011,35 to 39,874
Southland Region,2012,35 to 39,881
Southland Region,2013,35 to 39,807
Southland Region,2014,35 to 39,918
Southland Region,2015,35 to 39,937
Southland Region,2016,35 to 39,1107
Southland Region,2017,35 to 39,784
Southland Region,2018,35 to 39,826
Southland Region,2019,35 to 39,933
Southland Region,2020,35 to 39,989
Northland Region,1998,40 to 44,491
Northland Region,1999,40 to 44,450
Northland Region,2000,40 to 44,436
Northland Region,2001,40 to 44,532
Northland Region,2002,40 to 44,454
Northland Region,2003,40 to 44,561
Northland Region,2004,40 to 44,514
Northland Region,2005,40 to 44,487
Northland Region,2006,40 to 44,714
Northland Region,2007,40 to 44,716
Northland Region,2008,40 to 44,578
Northland Region,2009,40 to 44,643
Northland Region,2010,40 to 44,751
Northland Region,2011,40 to 44,720
Northland Region,2012,40 to 44,632
Northland Region,2013,40 to 44,799
Northland Region,2014,40 to 44,805
Northland Region,2015,40 to 44,786
Northland Region,2016,40 to 44,803
Northland Region,2017,40 to 44,691
Northland Region,2018,40 to 44,904
Northland Region,2019,40 to 44,830
Northland Region,2020,40 to 44,1168
Auckland Region,1998,40 to 44,628
Auckland Region,1999,40 to 44,652
Auckland Region,2000,40 to 44,658
Auckland Region,2001,40 to 44,669
Auckland Region,2002,40 to 44,692
Auckland Region,2003,40 to 44,766
Auckland Region,2004,40 to 44,835
Auckland Region,2005,40 to 44,884
Auckland Region,2006,40 to 44,835
Auckland Region,2007,40 to 44,892
Auckland Region,2008,40 to 44,887
Auckland Region,2009,40 to 44,933
Auckland Region,2010,40 to 44,947
Auckland Region,2011,40 to 44,998
Auckland Region,2012,40 to 44,1061
Auckland Region,2013,40 to 44,1021
Auckland Region,2014,40 to 44,1105
Auckland Region,2015,40 to 44,1185
Auckland Region,2016,40 to 44,1273
Auckland Region,2017,40 to 44,1278
Auckland Region,2018,40 to 44,1268
Auckland Region,2019,40 to 44,1271
Auckland Region,2020,40 to 44,1206
Waikato Region,1998,40 to 44,481
Waikato Region,1999,40 to 44,502
Waikato Region,2000,40 to 44,521
Waikato Region,2001,40 to 44,601
Waikato Region,2002,40 to 44,724
Waikato Region,2003,40 to 44,599
Waikato Region,2004,40 to 44,681
Waikato Region,2005,40 to 44,752
Waikato Region,2006,40 to 44,754
Waikato Region,2007,40 to 44,767
Waikato Region,2008,40 to 44,786
Waikato Region,2009,40 to 44,819
Waikato Region,2010,40 to 44,799
Waikato Region,2011,40 to 44,872
Waikato Region,2012,40 to 44,927
Waikato Region,2013,40 to 44,900
Waikato Region,2014,40 to 44,857
Waikato Region,2015,40 to 44,1007
Waikato Region,2016,40 to 44,1112
Waikato Region,2017,40 to 44,1052
Waikato Region,2018,40 to 44,1151
Waikato Region,2019,40 to 44,1068
Waikato Region,2020,40 to 44,1129
Bay of Plenty Region,1998,40 to 44,587
Bay of Plenty Region,1999,40 to 44,590
Bay of Plenty Region,2000,40 to 44,517
Bay of Plenty Region,2001,40 to 44,586
Bay of Plenty Region,2002,40 to 44,569
Bay of Plenty Region,2003,40 to 44,660
Bay of Plenty Region,2004,40 to 44,626
Bay of Plenty Region,2005,40 to 44,610
Bay of Plenty Region,2006,40 to 44,660
Bay of Plenty Region,2007,40 to 44,826
Bay of Plenty Region,2008,40 to 44,807
Bay of Plenty Region,2009,40 to 44,760
Bay of Plenty Region,2010,40 to 44,764
Bay of Plenty Region,2011,40 to 44,755
Bay of Plenty Region,2012,40 to 44,828
Bay of Plenty Region,2013,40 to 44,928
Bay of Plenty Region,2014,40 to 44,919
Bay of Plenty Region,2015,40 to 44,935
Bay of Plenty Region,2016,40 to 44,903
Bay of Plenty Region,2017,40 to 44,994
Bay of Plenty Region,2018,40 to 44,1114
Bay of Plenty Region,2019,40 to 44,1045
Bay of Plenty Region,2020,40 to 44,1153
Gisborne/Hawkes Bay Regions,1998,40 to 44,495
Gisborne/Hawkes Bay Regions,1999,40 to 44,528
Gisborne/Hawkes Bay Regions,2000,40 to 44,510
Gisborne/Hawkes Bay Regions,2001,40 to 44,564
Gisborne/Hawkes Bay Regions,2002,40 to 44,574
Gisborne/Hawkes Bay Regions,2003,40 to 44,622
Gisborne/Hawkes Bay Regions,2004,40 to 44,598
Gisborne/Hawkes Bay Regions,2005,40 to 44,714
Gisborne/Hawkes Bay Regions,2006,40 to 44,658
Gisborne/Hawkes Bay Regions,2007,40 to 44,730
Gisborne/Hawkes Bay Regions,2008,40 to 44,701
Gisborne/Hawkes Bay Regions,2009,40 to 44,888
Gisborne/Hawkes Bay Regions,2010,40 to 44,932
Gisborne/Hawkes Bay Regions,2011,40 to 44,726
Gisborne/Hawkes Bay Regions,2012,40 to 44,753
Gisborne/Hawkes Bay Regions,2013,40 to 44,836
Gisborne/Hawkes Bay Regions,2014,40 to 44,783
Gisborne/Hawkes Bay Regions,2015,40 to 44,891
Gisborne/Hawkes Bay Regions,2016,40 to 44,933
Gisborne/Hawkes Bay Regions,2017,40 to 44,846
Gisborne/Hawkes Bay Regions,2018,40 to 44,897
Gisborne/Hawkes Bay Regions,2019,40 to 44,993
Gisborne/Hawkes Bay Regions,2020,40 to 44,1146
Taranaki Region,1998,40 to 44,557
Taranaki Region,1999,40 to 44,462
Taranaki Region,2000,40 to 44,547
Taranaki Region,2001,40 to 44,570
Taranaki Region,2002,40 to 44,620
Taranaki Region,2003,40 to 44,671
Taranaki Region,2004,40 to 44,680
Taranaki Region,2005,40 to 44,677
Taranaki Region,2006,40 to 44,841
Taranaki Region,2007,40 to 44,796
Taranaki Region,2008,40 to 44,1000
Taranaki Region,2009,40 to 44,837
Taranaki Region,2010,40 to 44,722
Taranaki Region,2011,40 to 44,770
Taranaki Region,2012,40 to 44,831
Taranaki Region,2013,40 to 44,923
Taranaki Region,2014,40 to 44,977
Taranaki Region,2015,40 to 44,1179
Taranaki Region,2016,40 to 44,1119
Taranaki Region,2017,40 to 44,1120
Taranaki Region,2018,40 to 44,934
Taranaki Region,2019,40 to 44,1186
Taranaki Region,2020,40 to 44,1397
Manawatu-Wanganui Region,1998,40 to 44,525
Manawatu-Wanganui Region,1999,40 to 44,492
Manawatu-Wanganui Region,2000,40 to 44,514
Manawatu-Wanganui Region,2001,40 to 44,642
Manawatu-Wanganui Region,2002,40 to 44,560
Manawatu-Wanganui Region,2003,40 to 44,550
Manawatu-Wanganui Region,2004,40 to 44,639
Manawatu-Wanganui Region,2005,40 to 44,663
Manawatu-Wanganui Region,2006,40 to 44,661
Manawatu-Wanganui Region,2007,40 to 44,674
Manawatu-Wanganui Region,2008,40 to 44,694
Manawatu-Wanganui Region,2009,40 to 44,713
Manawatu-Wanganui Region,2010,40 to 44,975
Manawatu-Wanganui Region,2011,40 to 44,746
Manawatu-Wanganui Region,2012,40 to 44,730
